,PIB par capita,Vitesse de téléchargement (Mb/s) moyenne,"Litres d'alcool consommé par an, par capita chez 15+",Homicide volontaire par 100k personnes,%PIB dépensé dans le militaire,Indice de développement humain,Indice de démocratie,% d'éducation tertiare de 2 ans atteint,% d'importance de la religion,% de chrétiens,% de musulmans,% de bouddhistes,% de juifs,Mortalité en dessous de 5 ans (mort/1k naissance),Age de responsabilité criminelle,Salaire minimum annuel,Dette externe en % de PIB,Indice de Gini en %,Dépense en santé par capita,Taux de suicide,Taux de fertilité,Consommateur de tabac chez 15+,Taux d'obésité,Taux d'utilisateur d'Internet,Age médian,Score de liberté économique,Production de pétrole,Taux de croissance de population,Espérance de vie,Consommation de viande en kg par capita,Taux d'incarcération par 100k,Taux d'alphabétisation,Age de premier marriage,"Dépense en éducation, % du PIB",Taux d'itinérance par 100k,Consommation de lait par capita,Nombre d'articles scientifique par capita,Livres publiés par année,Consommation de nourriture en kilocalories,Température annuelle moyenne,corr_a1,corr_a2
% de musulmans,-0.2586282039752701,-0.1980191530179845,-0.6787406540308468,-0.23551530960721928,0.17818137220104865,-0.3115561244092454,-0.5491833367855123,-0.04754588056190862,0.364400535117606,-0.7384522513833587,1.0,-0.10189877505193065,-0.061827705152314304,0.2835363309237878,-0.19092232079188387,-0.27024837600155155,-0.18244029486078472,-0.13537097445314877,-0.0541319147514161,-0.24677489007000428,0.37311486580758224,-0.03190317004336982,-0.011101754163343594,-0.19588519998741616,-0.3766179845067431,-0.2279112318579691,0.14875827497211117,0.43429672687060605,-0.20506197592307412,-0.35017224505462224,-0.1769291474975558,-0.3925192412848511,-0.3039607703130106,-0.22475130234925728,0.2619022778119347,-0.1757163784381499,-0.28033041983087087,-0.08676952789828327,-0.09505713856608297,0.22431419271955053,0.13728953346433714,-0.10331552545106899
% de bouddhistes,-0.06788719786996633,0.3335427851588547,0.02097139590940204,-0.035612169978721984,-0.017905359820099918,0.06507383342068944,-0.007995715396599504,-0.020924837573428653,0.13811469591508901,-0.14960880459459364,-0.10189877505193065,1.0,0.006585780245043832,-0.09760409455485426,-0.10314338758822092,-0.12897606739101694,-0.01873490398176968,0.005359529523690075,0.008224149819523111,0.003586035838938996,-0.06987152940164695,-0.03410735688231564,-0.1393158964156271,-0.02631374933814691,0.09822471978917084,0.032568863631664814,-0.04421541957585959,-0.12891291544543693,0.10803749520177124,-0.0973397383693653,0.3084033486257525,0.13079694896245767,-0.1329515855437087,-0.04810033031908224,-0.037907141559455244,-0.14844815480978832,-0.08718956475327028,-0.07469574877289226,-0.02823698269632682,0.12444153528800514,-0.04400935944237008,-0.08150559925408973
% de juifs,0.24165518189158178,0.19608786969767908,0.009460979593639555,-0.03797674931312623,0.06558460414664014,0.17119753616372094,0.1606042698114381,0.24121036040249116,-0.10295085398254486,-0.06274085774477792,-0.061827705152314304,0.006585780245043832,1.0,-0.11412079931645792,-0.009705961015961231,0.23237533051425402,-0.0025657885980409295,0.022270937587861982,0.2863863266364303,-0.029513062598334017,-0.0109572176343214,0.05938910120962884,0.21236681468804952,0.12072991467519799,0.05297078954800471,0.17043705717860397,-0.024705402816261084,-0.022461129449688408,0.14743025491090347,0.1303046494641825,0.056750615880422656,0.06346240220007114,0.06212176417788829,0.0925037486628207,-0.05708480183209199,0.16647515201046081,0.13404379721756446,0.3658794857609075,0.24420891690607058,-0.07791744737007368,-0.026119317108333002,0.3779915020873256
Mortalité en dessous de 5 ans (mort/1k naissance),-0.48365665705797467,-0.12445118341654163,-0.3522722197668463,0.1973439774433501,-0.10366549847968377,-0.8749661232888672,-0.5085226338544477,0.0071831133800890675,0.5021775393522661,-0.12947125787488448,0.2835363309237878,-0.09760409455485426,-0.11412079931645792,1.0,-0.19186227623313026,-0.46811605723237254,-0.30538939503107343,0.3241557066277713,-0.003926536552835807,0.2586661814548071,0.8824796129737771,-0.5095769901989797,-0.5913173342158469,-0.7870969618146818,-0.8098213129185464,-0.5323843142178649,-0.14906879318742622,0.6696452938501393,-0.8759861735521008,-0.6114030662949802,-0.3071627737924959,-0.7098852341506033,-0.68331460485237,-0.25315629762345454,0.2766410101623456,-0.5972506864176838,-0.5049237668119422,-0.22964849402991153,-0.6970595229835423,0.4957404514770231,-0.1609632150881705,-0.27468234172794076
Age de responsabilité criminelle,0.11015043814012218,-0.13347852458735246,0.330849180716389,-0.12221455225090963,-0.08937664063903747,0.19729375352030717,0.06814020498591199,-0.022569215863429137,-0.3599555721156679,0.16963323375809228,-0.19092232079188387,-0.10314338758822092,-0.009705961015961231,-0.19186227623313026,1.0,0.1071841099200757,0.05843150341055358,-0.16920785495012067,-0.14663450229093222,-0.01143607442004982,-0.15801552985390677,0.3349246525104635,0.06506083373755232,0.1124152481958081,0.2972997951657673,0.022475561636588627,-0.07893881615959537,-0.28911251294210605,0.1937592610546913,0.1874968565459742,0.034131440713628676,0.3460823235391067,0.20201867905590662,0.08747638296049641,-0.19489973327264745,0.24326388954439232,0.1651173154889829,0.03332955280133537,0.22024463582517603,-0.34405996101308867,-0.07366583780553797,0.039794522627378245
Salaire minimum annuel,0.7557282333861753,0.41828510310390543,0.469379378466379,-0.22452966557556017,0.13220249572869558,0.6576854936638006,0.6011274444870356,0.2650217284931324,-0.533790390660762,0.0784687934051035,-0.27024837600155155,-0.12897606739101694,0.23237533051425402,-0.46811605723237254,0.1071841099200757,1.0,0.354778012484225,-0.26599845373728054,0.1710416178688547,-0.03913414632980098,-0.4667638249927271,0.4169389654250957,0.37533711670218517,0.5603244336701018,0.5697783066266787,0.5791323867542039,0.008378386232879476,-0.3186524728705968,0.651812506647726,0.708997820994504,-0.09923164196808734,0.21492307989261492,0.5893539353729433,0.18764699726124565,-0.22030611652685275,0.5405467575002548,0.6865022070586674,0.31157530245470916,0.595228996546088,-0.4183764196201217,0.03252699571674849,0.3776835674166628
Dette externe en % de PIB,0.45111608721520197,0.18040480566280484,0.2953199390591768,-0.1673699672050845,-0.07770615787748134,0.40824405920897927,0.36470438245948,0.0855277506005129,-0.31489249866027974,0.17497214373153797,-0.18244029486078472,-0.01873490398176968,-0.0025657885980409295,-0.30538939503107343,0.05843150341055358,0.354778012484225,1.0,-0.2312480746193739,0.1099891676400448,-0.07154081130991466,-0.32403142209058766,0.22539881136956405,0.1975742784969817,0.28410107238983723,0.3632261358271238,0.356121163861906,-0.016908401882293193,-0.24123127695896182,0.430969181916069,0.5054845965169932,-0.09957556470563239,0.27576057128541265,0.4215128247590028,0.074941585998458,-0.11070708202030723,0.3422581740763794,0.5249743878783325,0.027617056151584128,0.3216830417794477,-0.21521655716156682,0.003433430297937365,0.06765976576237315
Indice de Gini en %,-0.31502464420865023,-0.21310049941204312,-0.22147938980165693,0.41919346190504964,0.1633824765830914,-0.37944829917930145,-0.1531453456523373,-0.2774697336095479,0.3923392265911984,0.2451457078121361,-0.13537097445314877,0.005359529523690075,0.022270937587861982,0.3241557066277713,-0.16920785495012067,-0.26599845373728054,-0.2312480746193739,1.0,-0.10130401761907544,0.1900813987539358,0.3317097709765814,-0.48542282507359125,-0.12232984210554408,-0.4044848114810326,-0.48409812548976444,-0.2662249209116294,-0.006121743867309382,0.39878126515536794,-0.44094655359688123,-0.28938141536135265,0.27191859994366135,-0.2104205863145649,-0.32514063888399636,0.03422582909386494,0.11217582085903648,-0.4752050842679118,-0.40822294638712014,-0.04694170925263803,-0.41875030108219147,0.48811270481998026,-0.019056528632170465,-0.07512334338262355
Dépense en santé par capita,0.2854432783767368,0.2322254163044726,0.11984224436675357,-0.02446193856444642,0.028164453849604885,0.08871288862804781,0.08535089718541447,0.26333149723804894,-0.09953505069938506,0.03866554391697462,-0.0541319147514161,0.008224149819523111,0.2863863266364303,-0.003926536552835807,-0.14663450229093222,0.1710416178688547,0.1099891676400448,-0.10130401761907544,1.0,0.07226679215888437,-0.018972048336525587,-0.11343822102109052,0.05685662012094286,0.09393870021876796,0.046923377007241994,0.13177544544393435,0.1062299451284107,0.06221222249630025,0.06706789199147584,0.10738160380878603,-0.1647451395330178,-0.16495395157629505,0.07212749920568402,0.08669518713139583,-0.07470870694334696,0.07160961247879222,0.1871638003863588,0.3628890169269847,0.10834647148388797,-0.1110788107161993,0.10475808292855822,0.38313637772690023
Taux de suicide,-0.03307637407806931,0.07607822824776789,0.1579914704044085,0.27177667796605687,-0.1013462957412822,-0.14276413388605488,0.07079226944503052,0.16323203985389942,-0.10327453193051282,0.17570528254469456,-0.24677489007000428,0.003586035838938996,-0.029513062598334017,0.2586661814548071,-0.01143607442004982,-0.03913414632980098,-0.07154081130991466,0.1900813987539358,0.07226679215888437,1.0,0.11478196485586711,-0.08520564571320716,-0.1308376605390617,-0.16969889994452791,-0.05932809475204508,-0.10118575987587876,0.06767108133269997,-0.016834679100315577,-0.31723811182079426,-0.09992259496281629,-0.07927770728636924,-0.054428645268182516,-0.09187943818704446,0.18961079085383611,-0.11395609072337393,-0.054288899612704625,-0.028273675663698462,-0.03625597512487873,-0.1595117575879704,-0.1409222821228856,0.06629600798417752,-0.0359000117684925
Taux de fertilité,-0.48918103316800177,-0.21004472751144102,-0.4234336539794811,0.10580947452094358,-0.00032225552906592933,-0.8623003425863727,-0.5565454017119486,0.02693078810068072,0.5550403515813414,-0.17530906258490336,0.37311486580758224,-0.06987152940164695,-0.0109572176343214,0.8824796129737771,-0.15801552985390677,-0.4667638249927271,-0.32403142209058766,0.3317097709765814,-0.018972048336525587,0.11478196485586711,1.0,-0.5221359345928475,-0.5367161078945009,-0.8150297378981817,-0.8883910901700498,-0.5224226039841946,-0.12337224637924453,0.8151780017564673,-0.8143987591345457,-0.5919655774586673,-0.258240047943311,-0.703383462228085,-0.7193598801442675,-0.24341540196246655,0.2299318944669424,-0.5733281363559029,-0.5152737897198317,-0.25056022161066155,-0.6773941980015641,0.49363465011595237,-0.13520044718029384,-0.2945101682373767
Consommateur de tabac chez 15+,0.44395204029300717,0.13737845397239484,0.36122249316267246,-0.34233534929407156,-0.06660440218242289,0.5280833012075234,0.2156058017527833,0.10394576754999167,-0.5033929678702349,-0.03559818577326995,-0.03190317004336982,-0.03410735688231564,0.05938910120962884,-0.5095769901989797,0.3349246525104635,0.4169389654250957,0.22539881136956405,-0.48542282507359125,-0.11343822102109052,-0.08520564571320716,-0.5221359345928475,1.0,0.3456208343510628,0.5398309940939099,0.5973269168064893,0.36714987682134176,-0.004500992134656041,-0.5003617406176526,0.5100664326588225,0.4664031890094454,-0.029132437772142233,0.45360664222244296,0.4617609068625061,-0.015772506259581716,-0.03702699748860805,0.4824722062675015,0.4010411803217209,0.17705739714699706,0.5234736189412236,-0.5730538258829356,0.009960249593791076,0.21375231866701275
Taux d'obésité,0.32903304965064817,-0.00929568818194622,0.14199119579921893,0.07770878822579017,0.19720410932032398,0.6063700882298614,0.25631356961786195,-0.06521310565385022,-0.24380585921307305,0.16512294608093056,-0.011101754163343594,-0.1393158964156271,0.21236681468804952,-0.5913173342158469,0.06506083373755232,0.37533711670218517,0.1975742784969817,-0.12232984210554408,0.05685662012094286,-0.1308376605390617,-0.5367161078945009,0.3456208343510628,1.0,0.5444781382907291,0.47405676777531613,0.29253351039222525,0.2651782789317593,-0.3705768620912873,0.5108277957006061,0.5296673226728306,0.2847037563409325,0.3867745543194891,0.5581424917355471,0.26479828438236125,-0.08101441943940313,0.4948255677489801,0.3051983673543979,0.0338127267130036,0.5809561388215697,-0.2787870343354992,0.2749577561154673,0.0745695850619777
Taux d'utilisateur d'Internet,0.6069449052513939,0.376573647230676,0.43100688732164044,-0.2012135625935159,0.09944753110636101,0.8815049745434806,0.5333088285735452,0.03200511903524634,-0.6086085133144041,0.07954385596644786,-0.19588519998741616,-0.02631374933814691,0.12072991467519799,-0.7870969618146818,0.1124152481958081,0.5603244336701018,0.28410107238983723,-0.4044848114810326,0.09393870021876796,-0.16969889994452791,-0.8150297378981817,0.5398309940939099,0.5444781382907291,1.0,0.8308297566178465,0.6054339336410773,0.2418703089450928,-0.6129724372104987,0.8072725201123243,0.6387966979872894,0.07282144336836449,0.5802211319293176,0.7285826908274122,0.1782002543548943,-0.2488594204847425,0.6358905855143322,0.6117646290297347,0.34186110421759247,0.7533108218726591,-0.4966090862087384,0.2539436861264858,0.39873585846848825
Age médian,0.5814591649631387,0.35571945174302244,0.596500280102799,-0.24977929645172645,-0.01901804548807144,0.8874235269512855,0.594805061797388,0.020088222327040356,-0.6862828600360688,0.18535990799074262,-0.3766179845067431,0.09822471978917084,0.05297078954800471,-0.8098213129185464,0.2972997951657673,0.5697783066266787,0.3632261358271238,-0.48409812548976444,0.046923377007241994,-0.05932809475204508,-0.8883910901700498,0.5973269168064893,0.47405676777531613,0.8308297566178465,1.0,0.5581789812232618,0.0843940025462963,-0.852543868999065,0.8281264447425397,0.6720709123008493,0.0957718600677058,0.7223242625061971,0.754937604765299,0.23325482265585706,-0.29386017111586016,0.7097369105422752,0.6398647146023104,0.30635746312509504,0.7532750158982576,-0.6352261785077847,0.09919675138168836,0.3561842889060862
Score de liberté économique,0.6734787586048355,0.46309664999408645,0.4144229598614624,-0.23951465388043047,-0.04034360425097801,0.6679480324813512,0.6306333908731956,0.15983277615949634,-0.47707888854396424,0.049317837865094694,-0.2279112318579691,0.032568863631664814,0.17043705717860397,-0.5323843142178649,0.022475561636588627,0.5791323867542039,0.356121163861906,-0.2662249209116294,0.13177544544393435,-0.10118575987587876,-0.5224226039841946,0.36714987682134176,0.29253351039222525,0.6054339336410773,0.5581789812232618,1.0,0.17120887189366688,-0.3698841572799831,0.6352711337210515,0.5508712966029434,0.0414817624185176,0.2883462241102336,0.5626339255549425,0.01427933481679611,-0.1495973223850458,0.5101748320448992,0.6857592549643796,0.17091727728857223,0.5508079794604259,-0.42336752509291203,0.19366945915504813,0.23530123614559767
Production de pétrole,0.3004596640969958,0.05905075723968984,-0.11102919045129919,-0.061881705238079995,0.3063059164866359,0.21984908742173492,-0.012791210319244753,0.21788257880938297,0.004907201867527073,-0.11417261963372181,0.14875827497211117,-0.04421541957585959,-0.024705402816261084,-0.14906879318742622,-0.07893881615959537,0.008378386232879476,-0.016908401882293193,-0.006121743867309382,0.1062299451284107,0.06767108133269997,-0.12337224637924453,-0.004500992134656041,0.2651782789317593,0.2418703089450928,0.0843940025462963,0.17120887189366688,1.0,0.13532843239480769,0.16616625669845828,0.17976433197898575,-0.11052046224591595,-0.0759501392673401,0.11761036823151802,0.05615428087886025,-0.08383486425983788,0.1659771758330921,0.2042555215684187,-0.043241901057360005,0.15578975403902307,0.03216586862813144,0.9987693951101332,0.02088153599965446
Taux de croissance de population,-0.2818944118539277,-0.17063849321466956,-0.5462719392667948,0.0579616277390948,0.17229172446750418,-0.653826067950804,-0.5119553158050568,0.051008894299381415,0.5767725007460222,-0.27974611314209485,0.43429672687060605,-0.12891291544543693,-0.022461129449688408,0.6696452938501393,-0.28911251294210605,-0.3186524728705968,-0.24123127695896182,0.39878126515536794,0.06221222249630025,-0.016834679100315577,0.8151780017564673,-0.5003617406176526,-0.3705768620912873,-0.6129724372104987,-0.852543868999065,-0.3698841572799831,0.13532843239480769,1.0,-0.581169233134264,-0.41806309511179823,-0.19236142958404012,-0.7298019113888903,-0.6085179760707095,-0.18869807886328382,0.06086738228321728,-0.5563041174571793,-0.3743473416221345,-0.20328724417211935,-0.5698405002919495,0.5657597616744687,0.12714828838494258,-0.21980092060513887
Espérance de vie,0.7023360738571546,0.3819560832518904,0.35407558080423557,-0.35220135967416055,0.09134570480475351,0.91184613785231,0.5805781980934167,0.1194616646002019,-0.5504852929397079,-0.0035670947522138184,-0.20506197592307412,0.10803749520177124,0.14743025491090347,-0.8759861735521008,0.1937592610546913,0.651812506647726,0.430969181916069,-0.44094655359688123,0.06706789199147584,-0.31723811182079426,-0.8143987591345457,0.5100664326588225,0.5108277957006061,0.8072725201123243,0.8281264447425397,0.6352711337210515,0.16616625669845828,-0.581169233134264,1.0,0.725170143613397,0.10756412349275105,0.5490488844778316,0.7331480128443487,0.19184705099237157,-0.27040814508040817,0.6551729239844966,0.7153161369020933,0.26209054430428,0.7738889083408865,-0.45912573790769556,0.18681640205440012,0.32710799204790564
Consommation de viande en kg par capita,0.7253019937335409,0.3847257137228061,0.5200391606523954,-0.13409702745761015,0.0046982387350663546,0.7628570180594827,0.6179733248677094,0.0887825389895606,-0.5712288517417999,0.20810374892439035,-0.35017224505462224,-0.0973397383693653,0.1303046494641825,-0.6114030662949802,0.1874968565459742,0.708997820994504,0.5054845965169932,-0.28938141536135265,0.10738160380878603,-0.09992259496281629,-0.5919655774586673,0.4664031890094454,0.5296673226728306,0.6387966979872894,0.6720709123008493,0.5508712966029434,0.17976433197898575,-0.41806309511179823,0.725170143613397,1.0,0.03331153632940953,0.4473673991567708,0.7233043648284967,0.2486755224380141,-0.28583594066569457,0.615527581890491,0.7399242860511923,0.10143308275707262,0.6231041220048272,-0.41449790843462697,0.2070379092402555,0.1737545507498141
Taux d'incarcération par 100k,-0.17814968605174233,-0.1264227107566444,0.0917050648627802,0.27677410385707285,-0.08648882649210443,0.16301560413064967,0.010884573085564161,-0.16754363550272933,0.014919099190879791,0.1691879136873976,-0.1769291474975558,0.3084033486257525,0.056750615880422656,-0.3071627737924959,0.034131440713628676,-0.09923164196808734,-0.09957556470563239,0.27191859994366135,-0.1647451395330178,-0.07927770728636924,-0.258240047943311,-0.029132437772142233,0.2847037563409325,0.07282144336836449,0.0957718600677058,0.0414817624185176,-0.11052046224591595,-0.19236142958404012,0.10756412349275105,0.03331153632940953,1.0,0.3318654115002863,0.01992802266371939,0.055715351093763146,-0.19192189021506081,-0.049764311606765435,-0.21841122764215803,-0.015914995815281288,0.07688477941288276,0.03357454742625814,-0.11640211102635824,-0.035602155738291424
Taux d'alphabétisation,0.2131821335983084,0.029637699205262436,0.4986068645259363,-0.04434570465137771,-0.08808554194066674,0.6704172920839061,0.3783137080557963,-0.13599603568552146,-0.5671654342702394,0.30912761471868583,-0.3925192412848511,0.13079694896245767,0.06346240220007114,-0.7098852341506033,0.3460823235391067,0.21492307989261492,0.27576057128541265,-0.2104205863145649,-0.16495395157629505,-0.054428645268182516,-0.703383462228085,0.45360664222244296,0.3867745543194891,0.5802211319293176,0.7223242625061971,0.2883462241102336,-0.0759501392673401,-0.7298019113888903,0.5490488844778316,0.4473673991567708,0.3318654115002863,1.0,0.48731987096650603,0.1740894963247108,-0.2202145288488336,0.5253850525581013,0.2680157275659341,0.1281860219391627,0.456579156647637,-0.549272350545052,-0.06930668573199036,0.14203016748763933
